"sentiment","word_count","ratio","percentt"
"positive",15250,0.0850767085076709,8.50767085076708
"trust",14250,0.0794979079497908,7.94979079497908
"negative",8750,0.0488145048814505,4.88145048814505
"anticipation",8500,0.0474198047419805,4.74198047419805
"anger",4000,0.0223152022315202,2.23152022315202
"sadness",3250,0.0181311018131102,1.81311018131102
"fear",2750,0.0153417015341702,1.53417015341702
"joy",2000,0.0111576011157601,1.11576011157601
"surprise",1250,0.00697350069735007,0.697350069735007
"disgust",500,0.00278940027894003,0.278940027894003
