"sentiment","word_count","ratio","percentt"
"positive",11468,0.0920060331825038,9.20060331825038
"trust",9964,0.0799396681749623,7.99396681749623
"anticipation",9776,0.0784313725490196,7.84313725490196
"negative",9024,0.0723981900452489,7.23981900452489
"anger",3572,0.028657616892911,2.8657616892911
"sadness",3196,0.0256410256410256,2.56410256410256
"fear",2256,0.0180995475113122,1.80995475113122
"joy",1880,0.0150829562594268,1.50829562594268
"disgust",1504,0.0120663650075415,1.20663650075415
"surprise",1504,0.0120663650075415,1.20663650075415
