"sentiment","word_count","ratio","percentt"
"positive",20000,0.102695763799743,10.2695763799743
"trust",15500,0.079589216944801,7.9589216944801
"anticipation",13500,0.0693196405648267,6.93196405648267
"negative",8250,0.0423620025673941,4.23620025673941
"sadness",4000,0.0205391527599487,2.05391527599487
"anger",3000,0.0154043645699615,1.54043645699615
"joy",2750,0.0141206675224647,1.41206675224647
"fear",2000,0.0102695763799743,1.02695763799743
"disgust",1500,0.00770218228498074,0.770218228498075
"surprise",1000,0.00513478818998716,0.513478818998716
